subject_num,gender,angle,time,response,expected_answer,correct,false_positive,false_negative,source,axis,axis_difficulty,num_of_repeats,encoding_time,landmarking_time,rotation_time,decision_time
1,male,180,2.959,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.227,1.184,0.996
1,male,45,2.435,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.144,0.734,0.906
1,male,180,4.154,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.219,2.534,0.75
1,male,45,2.948,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.158,1.184,0.955
1,male,180,3.226,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.263,1.334,1.078
1,male,180,5.034,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.248,2.984,1.15
1,male,180,3.477,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.261,1.784,0.781
1,male,180,4.205,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.268,2.084,1.202
1,male,0,1.646,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.1,0.134,0.761
1,male,180,4.336,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.323,2.534,0.828
1,male,135,3.652,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.246,1.934,0.82
1,male,90,2.237,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.19,0.584,0.912
1,male,90,2.275,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.155,0.734,0.835
1,male,135,2.64,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.267,0.734,1.087
1,male,90,2.464,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.168,0.884,0.761
1,male,90,3.677,same,same,1,0,0,model,[0 1 0],0.0,1,0.551,0.197,1.484,1.395
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,0,1.646,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,135,3.865,same,same,1,0,0,model,[0 0 1],0.0,1,0.551,0.235,1.484,1.545
1,male,135,3.717,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.283,1.934,0.848
1,male,135,4.569,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.284,2.834,0.799
1,male,135,2.621,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.262,0.734,1.074
1,male,180,4.077,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.357,1.634,1.435
1,male,90,2.72,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.171,1.184,0.714
1,male,90,3.249,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.201,1.484,0.912
1,male,135,4.208,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.219,2.234,1.104
1,male,90,2.96,same,different,0,1,0,model,[0 1 0],0.0,2,0.551,0.166,1.184,0.959
